,country,atheism.rate
7, Albania,52
39, Argentina,16
33,Australia,22.3
45,Austria,12.2
9,Azerbaijan,51
71,Bangladesh,0.1
15,Belarus,43.5
23,Belgium,35.4
41,Belize,15.6
34,Botswana,20.6
52,Brazil,8
49,Bulgaria,11.1
29,Canada,23.9
27,Chile,25
10,China,50.5
47,Costa Rica,11.3
43,Croatia,13.2
13,Cuba,44
2,Czech Republic,67.8
4,Denmark,61
53,Ecuador,7.9
36,El Salvador,18.6
1,Estonia,70.4
17,Finland,42.9
12,France,44
24,Germany,27.5
61,Greece,4
44,Guatemala,12.5
51,Honduras,9
18,Hungary,42.6
19,Iceland,42
56,India,6.6
67,Iran,1.1
54,Ireland,7
37,Italy,17.8
8,Japan,52
21,Latvia,40.6
35,Lithuania,19.4
25,Luxembourg,29.9
66,Malta,1.3
55,Mexico,7
5,Netherlands,56
20,New Zealand,41.9
40,Nicaragua,15.7
69,Nigeria,0.7
62,Panama,3
59,Peru,4.7
50,Philippines,10.9
60,Poland,4.6
46,Portugal,11.4
48,Puerto Rico,11.1
64,Romania,2.4
14,Russia,43.8
58,Serbia,5.8
72,Singapore,17.75
31,Slovakia,23.1
26,Slovenia,29.9
42,South Africa,15.1
16,South Korea,43
30,Spain,23.3
6,Sweden,54
28, Switzerland,23.9
65,Tanzania,1.7
70,Thailand,0.27
63,Turkey,2.5
68,Uganda,1.1
38,Ukraine,16.3
22,United Kingdom,37.9
32,United States,22.8
11,Uruguay,47
57,Venezuela,6
3,Vietnam,63
