"","country","crime.rate"
"5","Afghanistan",73.85
"64","Albania",44.27
"48","Algeria",49.63
"15","Angola",65.51
"21","Argentina",62.63
"106","Armenia",27.08
"68","Australia",42.42
"121","Austria",19.25
"107","Azerbaijan",27.05
"19","Bahamas",63.21
"88","Bahrain",35.35
"13","Bangladesh",67.24
"115","Belarus",22.26
"63","Belgium",44.51
"25","Bolivia",59.5
"71","Bosnia And Herzegovina",40.97
"27","Botswana",58.22
"8","Brazil",70.62
"86","Brunei",36.07
"74","Bulgaria",40.18
"31","Cambodia",54.61
"77","Canada",39.25
"54","Chile",47.5
"91","China",33.9
"38","Colombia",51.69
"29","Costa Rica",55.94
"104","Croatia",27.8
"93","Cyprus",32.46
"98","Czech Republic",30.18
"116","Denmark",21.13
"22","Dominican Republic",62.62
"43","Ecuador",50.88
"37","Egypt",52.86
"6","El Salvador",71.57
"113","Estonia",23
"49","Ethiopia",49.18
"30","Fiji",55.6
"109","Finland",24.63
"66","France",43.66
"118","Georgia",20.83
"94","Germany",32.03
"55","Ghana",46.99
"73","Greece",40.32
"24","Guatemala",59.58
"2","Honduras",78.34
"119","Hong Kong",20.68
"82","Hungary",38.39
"105","Iceland",27.49
"65","India",43.96
"47","Indonesia",49.68
"42","Iran",50.9
"34","Iraq",54.35
"59","Ireland",45.77
"102","Israel",29.01
"62","Italy",44.66
"12","Jamaica",67.48
"117","Japan",20.89
"67","Jordan",43.14
"53","Kazakhstan",48.29
"16","Kenya",64.96
"92","Kuwait",33.48
"85","Latvia",36.45
"50","Lebanon",49.16
"32","Libya",54.47
"75","Lithuania",40.03
"101","Luxembourg",29.04
"80","Macedonia",38.66
"17","Malaysia",64.75
"56","Maldives",46.98
"97","Malta",30.56
"41","Mauritius",51.13
"44","Mexico",50.32
"61","Moldova",45.35
"11","Mongolia",67.62
"79","Montenegro",38.67
"51","Morocco",48.89
"20","Namibia",63.09
"84","Nepal",37.15
"100","Netherlands",29.89
"78","New Zealand",38.78
"7","Nigeria",70.87
"60","Norway",45.69
"110","Oman",24.47
"33","Pakistan",54.38
"83","Palestinian Territory",38.01
"45","Panama",50.01
"1","Papua New Guinea",82.38
"18","Peru",63.28
"76","Philippines",39.77
"95","Poland",31.53
"87","Portugal",35.39
"10","Puerto Rico",69.19
"124","Qatar",15.7
"103","Romania",27.95
"58","Russia",46.05
"112","Saudi Arabia",23.65
"81","Serbia",38.62
"123","Singapore",16.58
"99","Slovakia",30.18
"111","Slovenia",24.05
"26","Somalia",58.83
"4","South Africa",75.72
"108","South Korea",25.27
"3","South Sudan",78.18
"96","Spain",31.28
"90","Sri Lanka",34.57
"89","Sudan",35.05
"57","Sweden",46.65
"114","Switzerland",22.45
"14","Syria",66.34
"122","Taiwan",17.24
"23","Tanzania",61.39
"46","Thailand",49.78
"9","Trinidad And Tobago",70.15
"72","Tunisia",40.94
"70","Turkey",41.09
"28","Uganda",56.87
"40","Ukraine",51.27
"120","United Arab Emirates",20.66
"69","United Kingdom",41.19
"52","United States",48.76
"39","Uruguay",51.64
"36","Vietnam",52.96
"35","Zimbabwe",53.46
